Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Mid,Ask,Last,Volume,"Open Int",Vol/OI,IV,Delta,"Date On List"
GME,120.34,Call,200,2021-04-01,8,4.8,5.07,5.35,4.75,1222,524,2.33,316.88%,N/A,2021-03-24
GME,120.34,Call,200,2021-03-26,2,1.38,1.39,1.4,1.4,10476,3364,3.11,448.83%,N/A,2021-03-24
GME,120.34,Call,140,2021-03-26,2,5.35,5.78,6.2,5.65,739,231,3.2,345.49%,N/A,2021-03-24
GME,120.34,Call,145,2021-03-26,2,4.45,4.88,5.3,5,716,209,3.43,359.73%,N/A,2021-03-24
GME,120.34,Call,180,2021-04-01,8,5.6,6.43,7.25,6.65,526,145,3.63,304.61%,N/A,2021-03-24
GME,120.34,Call,190,2021-03-26,2,1.3,1.58,1.86,1.48,2562,659,3.89,420.94%,N/A,2021-03-24
GME,120.34,Call,185,2021-03-26,2,1.19,1.6,2,1.57,1955,478,4.09,408.93%,N/A,2021-03-24
GME,120.34,Call,210,2021-04-01,8,4,4.35,4.7,4.1,912,219,4.16,314.20%,N/A,2021-03-24
GME,120.34,Call,430,2021-05-21,58,8.75,10.35,11.95,9.14,1398,320,4.37,244.26%,N/A,2021-03-24
GME,120.34,Call,260,2021-04-01,8,2.45,2.63,2.81,2.35,554,121,4.58,347.79%,N/A,2021-03-24
GME,120.34,Call,135,2021-03-26,2,5.45,6.68,7.9,6.82,563,111,5.07,341.87%,N/A,2021-03-24
GME,120.34,Call,150,2021-04-01,8,11,11.73,12.45,11.55,608,116,5.24,297.40%,N/A,2021-03-24
GME,120.34,Call,130,2021-03-26,2,6.85,7.9,8.95,8.16,637,112,5.69,336.39%,N/A,2021-03-24
GME,120.34,Call,180,2021-03-26,2,1.45,1.66,1.87,1.73,2801,488,5.74,399.89%,N/A,2021-03-24
GME,120.34,Call,175,2021-03-26,2,1.75,1.88,2,1.99,1236,215,5.75,394.56%,N/A,2021-03-24
GME,120.34,Call,150,2021-03-26,2,3.9,3.95,4,3.9,3899,616,6.33,353.41%,N/A,2021-03-24
GME,120.34,Call,165,2021-03-26,2,2.25,2.33,2.4,2.54,1055,127,8.31,367.83%,N/A,2021-03-24
GME,120.34,Call,160,2021-03-26,2,2.92,2.96,3,2.82,2106,234,9,371.91%,N/A,2021-03-24
GME,120.34,Call,170,2021-03-26,2,2,2.13,2.25,2.21,2857,309,9.25,384.74%,N/A,2021-03-24
GME,120.34,Call,155,2021-03-26,2,3,3.38,3.75,3.35,1505,152,9.9,361.36%,N/A,2021-03-24
GME,120.34,Call,690,2021-04-09,16,1.46,1.51,1.56,1.56,747,555,1.35,401.63%,N/A,2021-03-24
GME,120.34,Call,240,2021-03-26,2,0.84,1.05,1.25,1.03,1016,740,1.37,529.17%,N/A,2021-03-24
GME,120.34,Call,300,2021-04-01,8,1.75,1.93,2.1,1.95,1187,813,1.46,368.00%,N/A,2021-03-24
GME,120.34,Call,195,2021-03-26,2,1,1.36,1.72,1.49,885,564,1.57,438.68%,N/A,2021-03-24
GME,120.34,Call,250,2021-04-01,8,2.75,2.9,3.05,2.82,911,550,1.66,340.98%,N/A,2021-03-24
GME,120.34,Call,205,2021-03-26,2,1.3,1.58,1.86,1.22,1059,619,1.71,477.25%,N/A,2021-03-24
GME,120.34,Call,430,2021-07-16,114,12.05,13.65,15.25,15,1643,974,1.69,201.94%,N/A,2021-03-24
GME,120.34,Call,235,2021-03-26,2,0.74,1.13,1.52,0.93,726,389,1.87,507.22%,N/A,2021-03-24
GME,120.34,Call,210,2021-03-26,2,1.11,1.18,1.24,1.33,1722,808,2.13,462.39%,N/A,2021-03-24
GME,183.75,Call,240,2021-03-26,1,2.8,3.13,3.45,3.2,1567,730,2.15,451.78%,N/A,2021-03-25
GME,183.75,Call,230,2021-03-26,1,4,4.38,4.75,4.2,1533,704,2.18,442.99%,N/A,2021-03-25
GME,183.75,Call,150,2021-04-01,7,47.15,48.45,49.75,49.34,968,432,2.24,323.08%,N/A,2021-03-25
GME,183.75,Call,225,2021-03-26,1,4.7,4.73,4.75,4.6,2115,880,2.4,435.13%,N/A,2021-03-25
GME,183.75,Call,220,2021-03-26,1,5.25,5.5,5.75,5.35,2938,1174,2.5,427.70%,N/A,2021-03-25
GME,183.75,Call,170,2021-04-01,7,37,38.05,39.1,38,1050,387,2.71,316.17%,N/A,2021-03-25
GME,183.75,Call,200,2021-04-01,7,25,25.5,26,25.5,2530,872,2.9,313.85%,N/A,2021-03-25
GME,183.75,Call,185,2021-03-26,1,13.9,14.45,15,14.45,2422,836,2.9,392.04%,N/A,2021-03-25
GME,183.75,Call,155,2021-03-26,1,31.65,32.95,34.25,32.85,1733,563,3.08,398.41%,N/A,2021-03-25
